product_id,category,brand,condition,price,seller_reputation,description,suspected_fraud
26,Furniture,IKEA,New,450.0,4,"Brand new IKEA KALLAX shelving unit, perfect for organizing your space.",False
26,Electronics,LG,New,1200.0,5,Brand new LG OLED55CXPUA Alexa Built-In OLED TV,False
26,Furniture,West Elm,New,1300.0,4,"Brand new West Elm mid-century dining table, seats six.",False
26,Electronics,LG,New,1200.0,4,"Brand new LG OLED55CXPUA Alexa Built-In 55"" 4K Smart OLED TV",False
26,Electronics,Dell,New,1550.0,4,Brand new Dell XPS 15 laptop with 16GB RAM and 512GB SSD,False
26,Electronics,Apple,New,1299.99,5,Brand new Apple iPhone 14 Pro with 256GB storage,False
26,Furniture,SofaCo,New,3200.0,4,Luxurious new SofaCo leather sectional with customizable configurations.,False
26,Furniture,West Elm,New,1200.0,5,Brand new West Elm mid-century modern coffee table.,False
26,Furniture,West Elm,New,1800.0,4,"Brand new West Elm mid-century dining table, seats up to 8.",False
26,Furniture,West Elm,New,1450.0,5,Brand new West Elm mid-century dining table,False
