product_id,category,brand,condition,price,seller_reputation,description,suspected_fraud
2.0,Clothing,Adidas,used,75.0,4,Brand new Adidas running shorts,True
3.0,Electronics,Apple,used,1299.99,2,Brand new Apple iPhone 14 Pro with 256GB storage,False
4.0,Furniture,Joybird,used,1200.0,5,Stylish Joybird mid-century modern sofa with plush cushions.,False
5.0,Furniture,IKEA,New,350.0,4,Brand new IKEA Hemnes dresser with 6 drawers.,False
6.0,Furniture,West Elm,New,3200.0,3,Brand new West Elm mid-century dining table in walnut finish.,True
7.0,Clothing,Adidas,New,120.0,3,Brand new Adidas Ultraboost running shoes,False
258.0,Electronics,Apple,used,1299.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False
8.0,Electronics,Apple,New,999.99,3,Brand new Apple iPhone 13 Pro with 256GB storage,False
9.0,Clothing,Adidas,used,75.0,4,Brand new Adidas UltraBoost running shoes,True
10.0,Furniture,Article,used,1450.0,5,Stylish new Article Avasan dining table with a modern design.,True
11.0,Furniture,SofaCo,New,1750.0,5,Brand new SofaCo luxury sectional couch with customizable fabric.,True
12.0,Electronics,LG,New,1200.0,3,"Brand new LG OLED55CXPUA Alexa Built-In OLED TV, 55-Inch",False
13.0,Furniture,SofaCo,New,1750.0,4,Brand new SofaCo L-shaped sectional couch in grey fabric.,False
14.0,Furniture,West Elm,New,1250.0,1,"Brand new West Elm mid-century dining table, seats 6.",False
15.0,Clothing,Adidas,used,120.0,2,Brand new Adidas Ultraboost running shoes,True
16.0,Furniture,West Elm,New,1350.0,4,"Brand new West Elm mid-century dining chair set, perfect for modern dining rooms.",False
17.0,Furniture,Joybird,used,1450.0,1,Stylish Joybird modern loveseat in vibrant teal fabric.,False
18.0,Electronics,Apple,New,1299.99,4,Brand new Apple iPhone 14 Pro Max with 256GB storage,False
19.0,Clothing,Adidas,New,85.0,1,"Brand new Adidas Ultraboost running shoes, size 10",False
20.0,Electronics,Apple,New,1299.99,5,Brand new Apple iPhone 14 Pro with 128GB storage,False
21.0,Clothing,Adidas,New,120.0,5,Brand new Adidas UltraBoost running shoes,False
22.0,Electronics,Apple,New,1299.99,1,Brand new Apple iPhone 14 Pro with 128GB storage,True
23.0,Clothing,Adidas,New,120.0,3,Brand new Adidas Ultraboost running shoes in size 10.,True
24.0,Furniture,Simplicity,New,1250.0,5,"Brand new Simplicity modern dining table, seats up to 8.",True
25.0,Electronics,Apple,New,1399.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False
693.0,Furniture,West Elm,New,3200.0,5,Sleek and modern West Elm mid-century dining table made from solid wood.,False
27.0,Clothing,Adidas,New,120.0,4,Brand new Adidas Ultraboost running shoes,False
28.0,Electronics,Dell,New,1200.0,3,Brand new Dell XPS 13 with Intel i7 processor and 16GB RAM,False
29.0,Furniture,West Elm,used,3500.0,5,"Brand new West Elm mid-century dining table, seats 8.",False
30.0,Furniture,Article,used,1350.0,4,"Brand new Article Sven grass green sofa, perfect for modern living rooms.",False
31.0,Clothing,Adidas,New,90.0,2,Brand new Adidas Ultraboost running shoes in size 10.,True
32.0,Furniture,Simplicity,New,3500.0,1,"Brand new Simplicity handcrafted oak dining table, seats up to 8.",True
33.0,Electronics,Dell,used,1350.0,2,Brand new Dell XPS 13 laptop with Intel i7 and 16GB RAM,True
34.0,Furniture,Rove Concepts,used,3200.0,3,"Elegant Rove Concepts Scandinavian dining table, perfect for modern homes.",False
35.0,Clothing,H&M,New,45.0,5,Brand new H&M casual summer dress in multiple sizes.,False
36.0,Furniture,West Elm,New,1800.0,3,Brand new West Elm mid-century dining table with 6 chairs.,False
37.0,Furniture,West Elm,used,3200.0,2,Brand new West Elm mid-century modern dresser with 6 drawers.,True
38.0,Clothing,Adidas,used,120.0,3,Brand new Adidas Ultraboost running shoes,False
39.0,Furniture,SofaCo,New,2400.0,2,Brand new SofaCo luxury leather sectional with chaise lounge.,False
40.0,Electronics,Apple,used,1299.99,5,Brand new Apple iPhone 14 Pro Max with 256GB storage,True
41.0,Electronics,LG,New,1200.0,5,Brand new LG OLED TV with 55-inch display,False
42.0,Furniture,West Elm,used,1750.0,3,"Brand new West Elm mid-century dining table, seats up to 8.",False
43.0,Furniture,Rove Concepts,used,1450.0,5,Brand new Rove Concepts dining table made from solid wood,False
44.0,Electronics,LG,New,1399.99,3,Brand new LG OLED55CXPUA Alexa Built-In 55-Inch 4K Smart OLED TV,True
45.0,Clothing,Nike,New,120.0,4,Brand new Nike Air Max 270 sneakers,True
46.0,Electronics,Apple,used,1299.99,5,Brand new Apple iPhone 13 Pro Max with 256GB storage,False
47.0,Furniture,Herman Miller,New,1800.0,3,Brand new Herman Miller Aeron chair for ergonomic comfort.,True
48.0,Furniture,Rove Concepts,New,3500.0,4,Luxury Rove Concepts modern dining table crafted from solid wood.,False
49.0,Electronics,Apple,New,1299.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False
50.0,Clothing,Adidas,used,75.0,5,Brand new Adidas Ultraboost running shoes,False
51.0,Furniture,West Elm,New,850.0,5,"Stylish West Elm mid-century dining chair, perfect for any modern home.",False
52.0,Electronics,LG,used,1200.0,1,Brand new LG OLED55CXPUA Alexa Built-In OLED TV with 4K UHD.,False
54.0,Electronics,Apple,New,1299.99,2,Brand new Apple iPhone 14 Pro with 256GB storage,False
55.0,Furniture,West Elm,New,1800.0,2,"Brand new West Elm mid-century dining table, seats 6.",False
56.0,Furniture,West Elm,New,1450.0,5,Brand new West Elm mid-century dining table with oak finish.,True
57.0,Electronics,Apple,New,1399.99,4,Brand new Apple iPhone 14 Pro with 128GB storage,False
58.0,Furniture,Simplicity,used,750.0,3,Stylish Simplicity modern coffee table with minimalist design.,False
59.0,Clothing,Adidas,New,90.0,4,Brand new Adidas Ultraboost running shoes,False
60.0,Furniture,Simplicity,used,3200.0,5,"Brand new Simplicity modern dining set for eight, crafted from solid wood.",True
