product_id,category,brand,condition,price,seller_reputation,description,suspected_fraud,log_price
2,Clothing,Adidas,used,75.0,4,Brand new Adidas running shorts,True,4.330733340286331
3,Electronics,Apple,used,1299.99,2,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.170880792087884
4,Furniture,Joybird,used,1200.0,5,Stylish Joybird mid-century modern sofa with plush cushions.,False,7.0909098220799835
5,Furniture,IKEA,New,350.0,4,Brand new IKEA Hemnes dresser with 6 drawers.,False,5.860786223465865
6,Furniture,West Elm,New,3200.0,3,Brand new West Elm mid-century dining table in walnut finish.,True,8.071218539969863
7,Clothing,Adidas,New,120.0,3,Brand new Adidas Ultraboost running shoes,False,4.795790545596741
258,Electronics,Apple,used,1299.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.170880792087884
8,Electronics,Apple,New,999.99,3,Brand new Apple iPhone 13 Pro with 256GB storage,False,6.90874478925533
9,Clothing,Adidas,used,75.0,4,Brand new Adidas UltraBoost running shoes,True,4.330733340286331
10,Furniture,Article,used,1450.0,5,Stylish new Article Avasan dining table with a modern design.,True,7.280008252884188
11,Furniture,SofaCo,New,1750.0,5,Brand new SofaCo luxury sectional couch with customizable fabric.,True,7.467942332285852
12,Electronics,LG,New,1200.0,3,"Brand new LG OLED55CXPUA Alexa Built-In OLED TV, 55-Inch",False,7.0909098220799835
13,Furniture,SofaCo,New,1750.0,4,Brand new SofaCo L-shaped sectional couch in grey fabric.,False,7.467942332285852
14,Furniture,West Elm,New,1250.0,1,"Brand new West Elm mid-century dining table, seats 6.",False,7.1316985104669115
15,Clothing,Adidas,used,120.0,2,Brand new Adidas Ultraboost running shoes,True,4.795790545596741
16,Furniture,West Elm,New,1350.0,4,"Brand new West Elm mid-century dining chair set, perfect for modern dining rooms.",False,7.208600337960199
17,Furniture,Joybird,used,1450.0,1,Stylish Joybird modern loveseat in vibrant teal fabric.,False,7.280008252884188
18,Electronics,Apple,New,1299.99,4,Brand new Apple iPhone 14 Pro Max with 256GB storage,False,7.170880792087884
19,Clothing,Adidas,New,85.0,1,"Brand new Adidas Ultraboost running shoes, size 10",False,4.454347296253507
20,Electronics,Apple,New,1299.99,5,Brand new Apple iPhone 14 Pro with 128GB storage,False,7.170880792087884
21,Clothing,Adidas,New,120.0,5,Brand new Adidas UltraBoost running shoes,False,4.795790545596741
22,Electronics,Apple,New,1299.99,1,Brand new Apple iPhone 14 Pro with 128GB storage,True,7.170880792087884
23,Clothing,Adidas,New,120.0,3,Brand new Adidas Ultraboost running shoes in size 10.,True,4.795790545596741
24,Furniture,Simplicity,New,1250.0,5,"Brand new Simplicity modern dining table, seats up to 8.",True,7.1316985104669115
25,Electronics,Apple,New,1399.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.24493440855279
27,Clothing,Adidas,New,120.0,4,Brand new Adidas Ultraboost running shoes,False,4.795790545596741
28,Electronics,Dell,New,1200.0,3,Brand new Dell XPS 13 with Intel i7 processor and 16GB RAM,False,7.0909098220799835
29,Furniture,West Elm,used,3500.0,5,"Brand new West Elm mid-century dining table, seats 8.",False,8.160803920954665
30,Furniture,Article,used,1350.0,4,"Brand new Article Sven grass green sofa, perfect for modern living rooms.",False,7.208600337960199
31,Clothing,Adidas,New,90.0,2,Brand new Adidas Ultraboost running shoes in size 10.,True,4.51085950651685
32,Furniture,Simplicity,New,3500.0,1,"Brand new Simplicity handcrafted oak dining table, seats up to 8.",True,8.160803920954665
33,Electronics,Dell,used,1350.0,2,Brand new Dell XPS 13 laptop with Intel i7 and 16GB RAM,True,7.208600337960199
34,Furniture,Rove Concepts,used,3200.0,3,"Elegant Rove Concepts Scandinavian dining table, perfect for modern homes.",False,8.071218539969863
35,Clothing,H&M,New,45.0,5,Brand new H&M casual summer dress in multiple sizes.,False,3.828641396489095
36,Furniture,West Elm,New,1800.0,3,Brand new West Elm mid-century dining table with 6 chairs.,False,7.496097345175956
37,Furniture,West Elm,used,3200.0,2,Brand new West Elm mid-century modern dresser with 6 drawers.,True,8.071218539969863
38,Clothing,Adidas,used,120.0,3,Brand new Adidas Ultraboost running shoes,False,4.795790545596741
39,Furniture,SofaCo,New,2400.0,2,Brand new SofaCo luxury leather sectional with chaise lounge.,False,7.783640596221253
40,Electronics,Apple,used,1299.99,5,Brand new Apple iPhone 14 Pro Max with 256GB storage,True,7.170880792087884
41,Electronics,LG,New,1200.0,5,Brand new LG OLED TV with 55-inch display,False,7.0909098220799835
42,Furniture,West Elm,used,1750.0,3,"Brand new West Elm mid-century dining table, seats up to 8.",False,7.467942332285852
43,Furniture,Rove Concepts,used,1450.0,5,Brand new Rove Concepts dining table made from solid wood,False,7.280008252884188
44,Electronics,LG,New,1399.99,3,Brand new LG OLED55CXPUA Alexa Built-In 55-Inch 4K Smart OLED TV,True,7.24493440855279
45,Clothing,Nike,New,120.0,4,Brand new Nike Air Max 270 sneakers,True,4.795790545596741
46,Electronics,Apple,used,1299.99,5,Brand new Apple iPhone 13 Pro Max with 256GB storage,False,7.170880792087884
47,Furniture,Herman Miller,New,1800.0,3,Brand new Herman Miller Aeron chair for ergonomic comfort.,True,7.496097345175956
48,Furniture,Rove Concepts,New,3500.0,4,Luxury Rove Concepts modern dining table crafted from solid wood.,False,8.160803920954665
49,Electronics,Apple,New,1299.99,3,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.170880792087884
50,Clothing,Adidas,used,75.0,5,Brand new Adidas Ultraboost running shoes,False,4.330733340286331
51,Furniture,West Elm,New,850.0,5,"Stylish West Elm mid-century dining chair, perfect for any modern home.",False,6.7464121285733745
52,Electronics,LG,used,1200.0,1,Brand new LG OLED55CXPUA Alexa Built-In OLED TV with 4K UHD.,False,7.0909098220799835
54,Electronics,Apple,New,1299.99,2,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.170880792087884
55,Furniture,West Elm,New,1800.0,2,"Brand new West Elm mid-century dining table, seats 6.",False,7.496097345175956
56,Furniture,West Elm,New,1450.0,5,Brand new West Elm mid-century dining table with oak finish.,True,7.280008252884188
57,Electronics,Apple,New,1399.99,4,Brand new Apple iPhone 14 Pro with 128GB storage,False,7.24493440855279
58,Furniture,Simplicity,used,750.0,3,Stylish Simplicity modern coffee table with minimalist design.,False,6.621405651764134
59,Clothing,Adidas,New,90.0,4,Brand new Adidas Ultraboost running shoes,False,4.51085950651685
60,Furniture,Simplicity,used,3200.0,5,"Brand new Simplicity modern dining set for eight, crafted from solid wood.",True,8.071218539969863
61,Clothing,Adidas,New,120.0,4,"Brand new Adidas Ultraboost running shoes, size 10",True,4.795790545596741
62,Clothing,Adidas,New,120.0,4,Brand new Adidas Ultraboost running shoes,False,4.795790545596741
63,Furniture,West Elm,New,1750.0,3,Brand new West Elm mid-century modern coffee table.,False,7.467942332285852
64,Electronics,Dell,New,1200.0,4,Brand new Dell XPS 13 laptop with Intel i7 processor and 16GB RAM,False,7.0909098220799835
65,Electronics,Apple,used,1299.99,5,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.170880792087884
66,Electronics,Apple,New,1199.99,4,Brand new Apple iPhone 13 Pro with 256GB storage,True,7.090901495650648
67,Clothing,Nike,used,120.0,5,"Brand new Nike Air Max sneakers, size 10.",False,4.795790545596741
68,Clothing,Adidas,New,120.0,2,Brand new Adidas Ultraboost running shoes,True,4.795790545596741
69,Clothing,Adidas,New,120.0,1,"Brand new Adidas Ultraboost running shoes, size 10",False,4.795790545596741
70,Electronics,LG,New,1450.0,3,"Brand new LG OLED55CXPUA Alexa Built-In OLED TV, 55-Inch",False,7.280008252884188
71,Clothing,Nike,New,120.0,3,Brand new Nike Air Max running shoes,False,4.795790545596741
72,Clothing,Adidas,New,120.0,5,Brand new Adidas Ultraboost running shoes,False,4.795790545596741
73,Electronics,LG,New,1200.0,1,Brand new LG OLED55CXPUA Alexa Built-In OLED TV,True,7.0909098220799835
74,Furniture,Article,used,1350.0,1,Brand new Article Ceni leather sofa in charcoal gray,True,7.208600337960199
75,Clothing,Adidas,used,120.0,3,Brand new Adidas Ultraboost running shoes,False,4.795790545596741
76,Electronics,Apple,New,1299.99,1,Brand new Apple iPhone 14 Pro with 256GB storage,True,7.170880792087884
77,Furniture,West Elm,used,1800.0,4,"Brand new West Elm mid-century dining table, seats up to 6.",False,7.496097345175956
78,Furniture,Ashley Furniture,used,1250.0,4,Brand new Ashley Furniture farmhouse dining table with 6 chairs.,False,7.1316985104669115
79,Clothing,Nike,New,120.0,5,Brand new Nike Air Max running shoes in size 10,False,4.795790545596741
81,Clothing,Adidas,New,120.0,4,Brand new Adidas Ultraboost running shoes,False,4.795790545596741
82,Furniture,West Elm,New,1750.0,1,Brand new West Elm mid-century dining table,False,7.467942332285852
83,Electronics,Apple,New,1200.0,4,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.0909098220799835
84,Furniture,SofaCo,New,1200.0,1,Brand new SofaCo modern sectional sofa in gray fabric.,True,7.0909098220799835
85,Clothing,Adidas,New,80.0,2,"Brand new Adidas running shoes, lightweight and breathable.",True,4.394449154672439
86,Clothing,Adidas,New,80.0,2,Brand new Adidas performance running shorts,False,4.394449154672439
262,Electronics,Apple,used,1399.99,4,Brand new Apple iPhone 14 Pro Max with 256GB storage,False,7.24493440855279
87,Furniture,IKEA,used,350.0,3,"Brand new IKEA KALLAX shelf unit, versatile and stylish.",False,5.860786223465865
88,Electronics,Apple,New,1299.99,5,Brand new Apple iPhone 14 Pro with 256GB storage,False,7.170880792087884
89,Clothing,Adidas,used,85.0,4,"Brand new Adidas Ultraboost running shoes, size 10.",False,4.454347296253507
90,Furniture,West Elm,New,1450.0,1,Brand new West Elm mid-century dining chair set of four.,False,7.280008252884188
91,Furniture,West Elm,used,1750.0,2,Brand new West Elm mid-century modern coffee table.,False,7.467942332285852
92,Furniture,Article,New,950.0,4,Brand new Article Ceni mid-century modern sofa in slate gray.,False,6.85751406254539
94,Clothing,Adidas,used,120.0,4,"Brand new Adidas Ultraboost running shoes, size 10.",False,4.795790545596741
95,Clothing,Adidas,used,85.0,3,"Brand new Adidas Ultraboost running shoes, size 10.",True,4.454347296253507
96,Electronics,Apple,New,1299.99,4,"Brand new Apple iPhone 14 Pro with 256GB storage, unlocked.",False,7.170880792087884
97,Clothing,Adidas,used,120.0,4,"Brand new Adidas Ultraboost running shoes, available in various sizes.",True,4.795790545596741
98,Electronics,Apple,New,1299.99,5,Brand new Apple iPhone 14 Pro with 256GB storage,True,7.170880792087884
99,Electronics,LG,New,1200.0,5,Brand new LG OLED55CXPUA Alexa Built-In OLED TV.,False,7.0909098220799835
